Pathogen_ID,Pathogen_Name,Pathogen_Category,Transmission_Mode,Curable_Status,Baseline_Receptive_Anal_Pct,Baseline_Insertive_Anal_Pct,Baseline_Receptive_Vaginal_Pct,Baseline_Insertive_Vaginal_Pct,Baseline_Oral_Pct,Baseline_Skin_Contact_Pct,Condom_Perfect_Use_Efficacy_Pct,Condom_Typical_Use_Efficacy_Pct,Condom_Breakage_Rate_Pct,Condom_Slippage_Rate_Pct,Risk_With_Condoms_Perfect_Use_Pct,Risk_With_Condoms_Typical_Use_Pct,Risk_With_PrEP_or_UU_Pct,Risk_With_Doxy_PEP_Pct,Risk_With_Vaccine_Pct,SF_Annual_Trend,SF_High_Risk_Group,Extragenital_Predominance_Pct,Vaccine_Available,Doxy_PEP_Efficacy,Diagnostic_Method,Testing_Cadence_High_Risk,Primary_Treatment,Failure_Mitigation_Strategy
1,HIV-1 & HIV-2,Retrovirus,Fluid-Borne / Blood,Treatable (ART / U=U),1.380,0.110,0.080,0.040,0.005,0.000,98.00,85.00,2.50,1.80,0.028,0.207,0.000,1.380,1.380,Decreasing,MSM / TGNC,0,None,None,4th Gen Ag/Ab & HIV RNA,Every 3 Months,Antiretroviral Therapy (ART),Initiate HIV PEP within 72h if HIV status positive/unknown
2,HSV-1,Alphaherpesvirus,Skin-to-Skin / Saliva,Treatable (Antivirals),5.000,5.000,5.000,5.000,10.000,15.000,65.00,40.00,2.50,1.80,1.750,3.000,5.000,5.000,5.000,High Baseline,General / All,20,None,None,Type-Specific IgG / PCR,Symptom-Based,Valacyclovir / Acyclovir,Antiviral suppressive therapy / Dental dam during oral
3,HSV-2,Alphaherpesvirus,Skin-to-Skin,Treatable (Antivirals),5.000,5.000,0.300,0.100,1.000,10.000,70.00,50.00,2.50,1.80,0.090,0.150,0.300,0.300,0.300,High Baseline,MSM / Multi-Partner,10,None,None,Type-Specific IgG / PCR Swab,Every 6-12 Months,Valacyclovir / Famciclovir,Daily suppressive Valacyclovir for partner w/ HSV-2
4,HPV High-Risk (16/18/31/33/45/52/58),Papillomavirus,Skin-to-Skin,Preventable / Treatable Lesions,10.000,10.000,10.000,10.000,5.000,20.000,70.00,50.00,2.50,1.80,3.000,5.000,10.000,10.000,0.000,Stable,MSM / Cervix-bearing,40,Gardasil 9,None,Pap Smear / HPV DNA NAAT,Annual / 3-Year,Gardasil 9 / LEEP / Ablation,Gardasil 9 vaccination prior to exposure
5,HPV Low-Risk (6/11 - Warts),Papillomavirus,Skin-to-Skin,Curable / Clearable,10.000,10.000,10.000,10.000,5.000,20.000,70.00,50.00,2.50,1.80,3.000,5.000,10.000,10.000,0.000,Stable,General / All,30,Gardasil 9,None,Clinical Inspection / Biopsy,Symptom-Based,Gardasil 9 / Cryotherapy / Podofilox,Gardasil 9 vaccination / Avoid contact with active lesions
6,Chlamydia trachomatis (D-K),Gram-negative Bacteria,Mucosal Fluid Exchange,Curable (Antibiotics),35.000,25.000,30.000,20.000,12.000,0.000,95.00,85.00,2.50,1.80,1.750,5.250,35.000,3.500,35.000,Decreasing -25%,MSM / ENM / Youth,75,None,High (~88%),3-Site NAAT (Urine/Rectal/Pharyngeal),Every 3 Months,Doxycycline 100mg BID x 7d,Take Doxy-PEP 200mg within 72h of condom breach
7,Neisseria gonorrhoeae,Gram-negative Diplococcus,Mucosal Fluid Exchange,Curable (IM Antibiotics),72.000,25.000,50.000,20.000,25.000,0.000,95.00,85.00,2.50,1.80,3.600,10.800,72.000,35.000,40.000,Slight Decline -3%,MSM / ENM,70,4CMenB Cross-Protection,Moderate (~55%),3-Site NAAT (Urine/Rectal/Pharyngeal),Every 3 Months,Ceftriaxone 500mg IM,Take Doxy-PEP 200mg within 72h / 4CMenB vaccination
8,Treponema pallidum (Syphilis),Spirochete Bacteria,Skin-to-Skin / Lesions,Curable (Penicillin),40.000,40.000,40.000,40.000,20.000,40.000,75.00,55.00,2.50,1.80,10.000,18.000,40.000,5.000,40.000,Decreasing -36%,MSM / TGNC,25,None,High (~87%),Serology (RPR/VDRL + TPPA/FTABS),Every 3 Months,Benzathine Penicillin G 2.4MU IM,Take Doxy-PEP 200mg within 72h of condom breach
9,Hepatitis B Virus (HBV),Hepadnavirus,Fluid-Borne / Blood,Preventable / Treatable,25.000,25.000,20.000,15.000,5.000,0.000,95.00,85.00,2.50,1.80,1.250,3.750,25.000,25.000,0.000,Low (High Vax Rate),Unvaccinated MSM,0,Heplisav-B / Engerix-B,None,HBsAg / Anti-HBs / Anti-HBc,Screen Once / Vax,Heplisav-B Vax / Tenofovir,HBIG + Hep B vaccine series within 24h if unvaccinated
10,Hepatitis C Virus (HCV),Flavivirus,Blood-to-Blood / Traumatic,Curable (DAAs),2.000,0.100,0.100,0.050,0.010,0.000,95.00,85.00,2.50,1.80,0.100,0.300,2.000,2.000,2.000,Low-Moderate,HIV+ MSM / Kink (Fisting),0,None,None,HCV Ab w/ Reflex RNA,Annual (High Risk),Direct-Acting Antivirals (DAAs),Abundant silicone lube / Nitrile gloves during manual play
